Distance to run: 100, step: 1
9945:(x,y) = (66.9026 , -35.3721)
9946:(x,y) = (67.4903 , -36.1811)
9947:(x,y) = (66.6074 , -36.6506)
9948:(x,y) = (65.8303 , -36.0213)
9949:(x,y) = (66.7638 , -35.6629)
9950:(x,y) = (66.6247 , -36.6532)
9951:(x,y) = (66.6421 , -35.6534)
9952:(x,y) = (66.1573 , -34.7787)
9953:(x,y) = (67.0636 , -35.2013)
9954:(x,y) = (67.795 , -35.8833)
9955:(x,y) = (67.6042 , -36.865)
9956:(x,y) = (66.8161 , -36.2493)
9957:(x,y) = (67.7905 , -36.0244)
9958:(x,y) = (68.0155 , -35.05)
9959:(x,y) = (67.6247 , -34.1295)
9960:(x,y) = (66.6253 , -34.1644)
9961:(x,y) = (65.6328 , -34.2863)
9962:(x,y) = (66.5783 , -34.6118)
9963:(x,y) = (66.1876 , -35.5323)
9964:(x,y) = (65.2028 , -35.706)
9965:(x,y) = (66.0414 , -35.1613)
9966:(x,y) = (65.4679 , -34.3422)
9967:(x,y) = (66.4673 , -34.3771)
9968:(x,y) = (67.0966 , -35.1542)
9969:(x,y) = (66.4538 , -35.9203)
9970:(x,y) = (65.7106 , -35.2511)
9971:(x,y) = (65.7804 , -36.2487)
9972:(x,y) = (66.7803 , -36.2662)
9973:(x,y) = (67.5994 , -36.8397)
9974:(x,y) = (68.5557 , -36.5474)
9975:(x,y) = (68.8313 , -37.5086)
9976:(x,y) = (67.8858 , -37.8342)
9977:(x,y) = (68.6845 , -38.436)
9978:(x,y) = (67.9898 , -37.7167)
9979:(x,y) = (67.1511 , -38.2613)
9980:(x,y) = (66.3421 , -38.8491)
9981:(x,y) = (66.3072 , -39.8485)
9982:(x,y) = (65.3127 , -39.744)
9983:(x,y) = (66.219 , -40.1666)
9984:(x,y) = (65.7964 , -39.2603)
9985:(x,y) = (65.1403 , -38.5056)
9986:(x,y) = (64.848 , -37.5493)
9987:(x,y) = (64.623 , -38.5236)
9988:(x,y) = (63.814 , -37.9358)
9989:(x,y) = (62.8164 , -38.0056)
9990:(x,y) = (62.347 , -38.8885)
9991:(x,y) = (63.176 , -39.4477)
9992:(x,y) = (64.1576 , -39.2569)
9993:(x,y) = (63.4263 , -39.9389)
9994:(x,y) = (63.5134 , -38.9427)
9995:(x,y) = (62.5798 , -39.3011)
9996:(x,y) = (62.3549 , -40.2755)
9997:(x,y) = (61.4889 , -40.7755)
9998:(x,y) = (61.8144 , -39.83)
9999:(x,y) = (62.0223 , -38.8518)
10000:(x,y) = (62.1788 , -37.8641)
10001:(x,y) = (61.3128 , -38.3641)
10002:(x,y) = (62.3053 , -38.486)
10003:(x,y) = (62.9744 , -39.2291)
10004:(x,y) = (61.9782 , -39.142)
10005:(x,y) = (61.5088 , -40.0249)
10006:(x,y) = (60.9788 , -40.873)
10007:(x,y) = (60.5721 , -41.7865)
10008:(x,y) = (59.6733 , -42.2249)
10009:(x,y) = (59.2349 , -43.1237)
10010:(x,y) = (59.0785 , -42.136)
10011:(x,y) = (59.548 , -41.253)
10012:(x,y) = (60.4615 , -40.8463)
10013:(x,y) = (60.5139 , -41.8449)
10014:(x,y) = (60.5139 , -42.8449)
10015:(x,y) = (61.4955 , -42.6541)
10016:(x,y) = (62.2148 , -41.9595)
10017:(x,y) = (63.1711 , -41.6671)
10018:(x,y) = (63.1362 , -42.6665)
10019:(x,y) = (63.6362 , -41.8005)
10020:(x,y) = (62.7027 , -42.1588)
10021:(x,y) = (61.8366 , -41.6588)
10022:(x,y) = (62.7276 , -41.2048)
10023:(x,y) = (62.8322 , -40.2103)
10024:(x,y) = (62.4254 , -41.1239)
10025:(x,y) = (63.3867 , -41.3995)
10026:(x,y) = (62.4595 , -41.0249)
10027:(x,y) = (63.4254 , -40.7661)
10028:(x,y) = (62.4595 , -41.0249)
10029:(x,y) = (61.8034 , -41.7796)
10030:(x,y) = (61.7511 , -40.781)
10031:(x,y) = (61.8556 , -41.7755)
10032:(x,y) = (62.5117 , -42.5302)
10033:(x,y) = (63.2548 , -43.1993)
10034:(x,y) = (62.5857 , -43.9425)
10035:(x,y) = (61.9979 , -43.1335)
10036:(x,y) = (61.0643 , -43.4918)
10037:(x,y) = (61.9979 , -43.8502)
10038:(x,y) = (61.5753 , -44.7565)
10039:(x,y) = (61.7317 , -45.7442)
10040:(x,y) = (61.6446 , -44.748)
10041:(x,y) = (62.6058 , -45.0236)
10042:(x,y) = (61.7672 , -45.5683)
10043:(x,y) = (62.7574 , -45.7075)
10044:(x,y) = (62.1147 , -44.9414)
10045:(x,y) = (61.57 , -44.1027)
10046:(x,y) = (62.5686 , -44.0504)
10047:(x,y) = (63.2633 , -43.3311)
10048:(x,y) = (64.2415 , -43.1231)
10049:(x,y) = (64.2764 , -44.1225)
10050:(x,y) = (63.984 , -43.1662)
10051:(x,y) = (64.0711 , -42.17)
10052:(x,y) = (64.4779 , -43.0836)
10053:(x,y) = (65.4724 , -42.9791)
10054:(x,y) = (64.4876 , -42.8054)
10055:(x,y) = (65.1032 , -42.0174)
10056:(x,y) = (66.0881 , -42.191)
10057:(x,y) = (65.1484 , -42.5331)
10058:(x,y) = (65.5391 , -41.6126)
10059:(x,y) = (66.0837 , -40.7739)
10060:(x,y) = (66.4421 , -39.8403)
10061:(x,y) = (67.2808 , -39.2957)
10062:(x,y) = (68.1718 , -39.7497)
10063:(x,y) = (67.8794 , -40.706)
10064:(x,y) = (67.1481 , -41.388)
10065:(x,y) = (67.4237 , -40.4267)
10066:(x,y) = (67.0981 , -41.3722)
10067:(x,y) = (67.5365 , -42.271)
10068:(x,y) = (68.1383 , -41.4724)
10069:(x,y) = (67.419 , -40.7777)
10070:(x,y) = (66.5998 , -41.3513)
10071:(x,y) = (67.5395 , -41.0093)
10072:(x,y) = (68.5321 , -41.1311)
10073:(x,y) = (68.8904 , -40.1976)
10074:(x,y) = (69.8686 , -39.9897)
10075:(x,y) = (70.8648 , -40.0768)
10076:(x,y) = (71.3031 , -39.178)
10077:(x,y) = (72.2644 , -38.9024)
10078:(x,y) = (73.0191 , -38.2463)
10079:(x,y) = (73.6484 , -39.0235)
10080:(x,y) = (72.7087 , -38.6814)
10081:(x,y) = (73.6484 , -38.3394)
10082:(x,y) = (74.4775 , -37.7802)
10083:(x,y) = (75.3065 , -38.3394)
10084:(x,y) = (75.0986 , -39.3176)
10085:(x,y) = (75.3405 , -38.3473)
10086:(x,y) = (76.286 , -38.0217)
10087:(x,y) = (75.771 , -37.1645)
10088:(x,y) = (75.8755 , -38.1591)
10089:(x,y) = (76.6187 , -38.8282)
10090:(x,y) = (75.6193 , -38.7933)
10091:(x,y) = (76.5896 , -39.0352)
10092:(x,y) = (77.5773 , -39.1917)
10093:(x,y) = (76.6943 , -38.7222)
10094:(x,y) = (76.3359 , -37.7886)
10095:(x,y) = (75.5168 , -38.3622)
10096:(x,y) = (75.3776 , -37.3719)
10097:(x,y) = (76.377 , -37.337)
10098:(x,y) = (75.5024 , -36.8522)
10099:(x,y) = (74.6278 , -36.3674)
10100:(x,y) = (73.8731 , -35.7113)
10101:(x,y) = (73.358 , -36.5685)
10102:(x,y) = (74.0894 , -35.8865)
10103:(x,y) = (73.4202 , -35.1434)
10104:(x,y) = (72.4202 , -35.1434)
10105:(x,y) = (72.9794 , -34.3143)
10106:(x,y) = (72.3776 , -33.5157)
10107:(x,y) = (71.9393 , -32.6169)
10108:(x,y) = (72.4984 , -33.4459)
10109:(x,y) = (73.2645 , -32.8031)
10110:(x,y) = (73.6871 , -31.8968)
10111:(x,y) = (73.4452 , -30.9265)
10112:(x,y) = (73.93 , -30.0519)
10113:(x,y) = (74.8129 , -30.5214)
10114:(x,y) = (75.155 , -29.5817)
10115:(x,y) = (74.1733 , -29.7725)
10116:(x,y) = (74.8425 , -29.0294)
10117:(x,y) = (74.8599 , -28.0295)
10118:(x,y) = (75.529 , -28.7727)
10119:(x,y) = (76.3482 , -29.3462)
10120:(x,y) = (76.5218 , -30.331)
10121:(x,y) = (75.8658 , -29.5763)
10122:(x,y) = (74.8672 , -29.6287)
10123:(x,y) = (74.8846 , -30.6285)
10124:(x,y) = (73.9783 , -30.2059)
10125:(x,y) = (74.385 , -31.1194)
10126:(x,y) = (75.3844 , -31.1543)
10127:(x,y) = (75.0921 , -32.1106)
10128:(x,y) = (75.5304 , -33.0094)
10129:(x,y) = (76.4576 , -32.6348)
10130:(x,y) = (76.5621 , -33.6294)
10131:(x,y) = (76.821 , -32.6634)
10132:(x,y) = (76.139 , -31.9321)
10133:(x,y) = (76.8937 , -32.5881)
10134:(x,y) = (77.0845 , -31.6065)
10135:(x,y) = (77.7665 , -32.3379)
10136:(x,y) = (77.3758 , -33.2584)
10137:(x,y) = (77.5837 , -32.2802)
10138:(x,y) = (77.942 , -31.3466)
10139:(x,y) = (76.9604 , -31.5374)
10140:(x,y) = (76.4756 , -30.6628)
10141:(x,y) = (77.4681 , -30.541)
10142:(x,y) = (77.8908 , -31.4473)
10143:(x,y) = (78.5064 , -30.6593)
10144:(x,y) = (79.44 , -31.0176)
10145:(x,y) = (78.9101 , -31.8657)
10146:(x,y) = (78.4561 , -32.7567)
10147:(x,y) = (79.3471 , -32.3027)
10148:(x,y) = (78.4016 , -32.6283)
10149:(x,y) = (77.4403 , -32.9039)
10150:(x,y) = (78.4306 , -33.0431)
10151:(x,y) = (77.9458 , -32.1684)
10152:(x,y) = (78.7844 , -32.7131)
10153:(x,y) = (77.7883 , -32.6259)
10154:(x,y) = (78.6454 , -32.1109)
10155:(x,y) = (79.6399 , -32.2154)
10156:(x,y) = (79.3144 , -31.2699)
10157:(x,y) = (79.1579 , -32.2576)
10158:(x,y) = (78.7672 , -33.1781)
10159:(x,y) = (79.4619 , -32.4588)
10160:(x,y) = (78.5556 , -32.0361)
10161:(x,y) = (77.5993 , -31.7438)
10162:(x,y) = (78.5918 , -31.8656)
10163:(x,y) = (78.9008 , -32.8167)
10164:(x,y) = (79.8953 , -32.9212)
10165:(x,y) = (80.1877 , -31.9649)
10166:(x,y) = (79.7029 , -32.8395)
10167:(x,y) = (79.2334 , -33.7225)
10168:(x,y) = (78.3588 , -33.2377)
10169:(x,y) = (77.3602 , -33.29)
10170:(x,y) = (77.6526 , -32.3337)
10171:(x,y) = (76.8645 , -31.718)
10172:(x,y) = (75.8797 , -31.8917)
10173:(x,y) = (75.3949 , -32.7663)
10174:(x,y) = (74.4246 , -33.0082)
10175:(x,y) = (73.443 , -32.8174)
10176:(x,y) = (72.9582 , -31.9428)
10177:(x,y) = (73.1661 , -30.9647)
10178:(x,y) = (73.5407 , -30.0375)
10179:(x,y) = (74.2839 , -30.7066)
10180:(x,y) = (74.3536 , -31.7042)
10181:(x,y) = (74.8384 , -30.8295)
10182:(x,y) = (75.0463 , -29.8514)
10183:(x,y) = (74.6556 , -28.9309)
10184:(x,y) = (74.3466 , -27.9798)
10185:(x,y) = (75.2921 , -28.3054)
10186:(x,y) = (74.9997 , -27.3491)
10187:(x,y) = (74.2117 , -27.9648)
10188:(x,y) = (73.805 , -27.0512)
10189:(x,y) = (73.1103 , -27.7706)
10190:(x,y) = (72.391 , -27.0759)
10191:(x,y) = (72.391 , -28.0759)
10192:(x,y) = (72.2345 , -29.0636)
10193:(x,y) = (73.2344 , -29.0461)
10194:(x,y) = (72.2833 , -29.3552)
10195:(x,y) = (72.0245 , -30.3211)
10196:(x,y) = (72.6123 , -31.1301)
10197:(x,y) = (72.786 , -30.1453)
10198:(x,y) = (73.7736 , -29.9889)
10199:(x,y) = (73.6345 , -28.9986)
10200:(x,y) = (73.5126 , -29.9911)
10201:(x,y) = (74.2197 , -30.6982)
10202:(x,y) = (73.8451 , -29.7711)
10203:(x,y) = (74.6643 , -30.3446)
10204:(x,y) = (73.703 , -30.6203)
10205:(x,y) = (74.3048 , -31.4189)
10206:(x,y) = (75.2993 , -31.3144)
10207:(x,y) = (74.3068 , -31.4362)
10208:(x,y) = (74.0818 , -32.4106)
10209:(x,y) = (74.3575 , -31.4494)
10210:(x,y) = (75.3138 , -31.157)
10211:(x,y) = (74.3261 , -31.0005)
10212:(x,y) = (75.3186 , -30.8787)
10213:(x,y) = (76.1573 , -31.4233)
10214:(x,y) = (75.2438 , -31.0166)
10215:(x,y) = (74.8054 , -30.1178)
10216:(x,y) = (73.8054 , -30.1178)
10217:(x,y) = (73.0983 , -29.4107)
10218:(x,y) = (72.1995 , -29.849)
10219:(x,y) = (72.6221 , -30.7554)
10220:(x,y) = (73.622 , -30.7379)
10221:(x,y) = (72.7929 , -31.2971)
10222:(x,y) = (71.8866 , -31.7197)
10223:(x,y) = (71.7474 , -32.71)
10224:(x,y) = (70.9283 , -33.2836)
10225:(x,y) = (71.0154 , -34.2798)
10226:(x,y) = (71.8901 , -33.7949)
10227:(x,y) = (72.7191 , -33.2358)
10228:(x,y) = (73.7153 , -33.3229)
10229:(x,y) = (74.4924 , -32.6936)
10230:(x,y) = (73.8233 , -31.9504)
10231:(x,y) = (73.1805 , -31.1844)
10232:(x,y) = (74.175 , -31.2889)
10233:(x,y) = (73.7367 , -30.3901)
10234:(x,y) = (74.5753 , -30.9348)
10235:(x,y) = (73.5905 , -31.1084)
10236:(x,y) = (74.0445 , -30.2174)
10237:(x,y) = (74.9355 , -30.6714)
10238:(x,y) = (74.5772 , -31.605)
10239:(x,y) = (75.3432 , -32.2478)
10240:(x,y) = (75.5169 , -33.2326)
10241:(x,y) = (74.7737 , -32.5634)
10242:(x,y) = (75.7723 , -32.5111)
10243:(x,y) = (74.8388 , -32.1527)
10244:(x,y) = (74.5631 , -31.1915)
10245:(x,y) = (75.4203 , -30.6764)
10246:(x,y) = (74.5816 , -30.1318)
10247:(x,y) = (73.6544 , -29.7572)
10248:(x,y) = (72.6841 , -29.5153)
10249:(x,y) = (71.977 , -30.2224)
10250:(x,y) = (71.9247 , -29.2238)
10251:(x,y) = (72.7018 , -28.5944)
10252:(x,y) = (72.8926 , -27.6128)
10253:(x,y) = (71.9078 , -27.4392)
10254:(x,y) = (72.4229 , -28.2963)
10255:(x,y) = (71.4485 , -28.0714)
10256:(x,y) = (71.5183 , -27.0738)
10257:(x,y) = (72.3929 , -27.5586)
10258:(x,y) = (71.4593 , -27.917)
10259:(x,y) = (72.1413 , -28.6483)
10260:(x,y) = (71.6718 , -29.5313)
10261:(x,y) = (70.7655 , -29.9539)
10262:(x,y) = (71.4849 , -30.6486)
10263:(x,y) = (70.9257 , -31.4776)
10264:(x,y) = (71.7028 , -32.1069)
10265:(x,y) = (71.9278 , -33.0813)
10266:(x,y) = (72.3972 , -33.9642)
10267:(x,y) = (72.1723 , -34.9386)
10268:(x,y) = (71.9473 , -35.913)
10269:(x,y) = (70.9548 , -36.0349)
10270:(x,y) = (70.9722 , -35.035)
10271:(x,y) = (71.6283 , -34.2803)
10272:(x,y) = (70.672 , -34.5727)
10273:(x,y) = (71.4911 , -35.1462)
10274:(x,y) = (70.6082 , -35.6157)
10275:(x,y) = (71.1528 , -36.4544)
10276:(x,y) = (72.1504 , -36.5241)
10277:(x,y) = (73.148 , -36.5939)
10278:(x,y) = (72.9401 , -35.6157)
10279:(x,y) = (73.7592 , -35.0422)
10280:(x,y) = (73.0045 , -35.6982)
10281:(x,y) = (73.3952 , -34.7777)
10282:(x,y) = (73.6709 , -33.8165)
10283:(x,y) = (72.6783 , -33.6946)
10284:(x,y) = (72.1484 , -34.5426)
10285:(x,y) = (71.7738 , -35.4698)
10286:(x,y) = (70.9257 , -35.9997)
10287:(x,y) = (69.9645 , -36.2754)
10288:(x,y) = (69.947 , -35.2755)
10289:(x,y) = (70.5488 , -34.4769)
10290:(x,y) = (69.6917 , -33.9619)
10291:(x,y) = (70.5827 , -34.4159)
10292:(x,y) = (69.9399 , -33.6498)
10293:(x,y) = (69.6811 , -32.6839)
10294:(x,y) = (69.8375 , -31.6962)
10295:(x,y) = (70.6362 , -32.298)
10296:(x,y) = (71.5108 , -31.8132)
10297:(x,y) = (72.4563 , -31.4876)
10298:(x,y) = (72.4214 , -30.4882)
10299:(x,y) = (71.4942 , -30.1136)
10300:(x,y) = (71.7021 , -29.1355)
10301:(x,y) = (72.2899 , -28.3265)
10302:(x,y) = (72.4807 , -27.3448)
10303:(x,y) = (72.5679 , -28.341)
10304:(x,y) = (73.5134 , -28.0155)
10305:(x,y) = (73.8058 , -28.9718)
10306:(x,y) = (73.0286 , -29.6011)
10307:(x,y) = (72.6379 , -30.5216)
10308:(x,y) = (71.7316 , -30.099)
10309:(x,y) = (70.7572 , -30.3239)
10310:(x,y) = (69.8584 , -29.8856)
10311:(x,y) = (69.5 , -30.8191)
10312:(x,y) = (68.8309 , -30.076)
10313:(x,y) = (68.6401 , -29.0944)
10314:(x,y) = (69.1096 , -28.2114)
10315:(x,y) = (68.6401 , -29.0944)
10316:(x,y) = (69.6217 , -29.2852)
10317:(x,y) = (69.6915 , -30.2827)
10318:(x,y) = (69.8994 , -29.3046)
10319:(x,y) = (70.5685 , -30.0477)
10320:(x,y) = (69.623 , -30.3733)
10321:(x,y) = (69.4494 , -29.3885)
10322:(x,y) = (68.5289 , -28.9978)
10323:(x,y) = (67.5953 , -29.3561)
10324:(x,y) = (67.8202 , -28.3818)
10325:(x,y) = (67.2903 , -29.2298)
10326:(x,y) = (66.329 , -28.9542)
10327:(x,y) = (66.0534 , -27.9929)
10328:(x,y) = (65.8285 , -28.9673)
10329:(x,y) = (65.1991 , -28.1901)
10330:(x,y) = (64.4798 , -27.4955)
10331:(x,y) = (65.3861 , -27.9181)
10332:(x,y) = (64.3875 , -27.9704)
10333:(x,y) = (64.4398 , -26.9718)
10334:(x,y) = (64.0978 , -27.9115)
10335:(x,y) = (64.3734 , -26.9502)
10336:(x,y) = (63.9827 , -27.8707)
10337:(x,y) = (64.9282 , -28.1963)
10338:(x,y) = (65.7054 , -28.8256)
10339:(x,y) = (66.4485 , -28.1565)
10340:(x,y) = (67.1432 , -27.4372)
10341:(x,y) = (66.7048 , -26.5384)
10342:(x,y) = (67.0632 , -27.4719)
10343:(x,y) = (67.6925 , -26.6948)
10344:(x,y) = (66.8938 , -27.2966)
10345:(x,y) = (66.1867 , -28.0037)
10346:(x,y) = (66.5775 , -28.9242)
10347:(x,y) = (66.7854 , -27.9461)
10348:(x,y) = (67.767 , -27.7553)
10349:(x,y) = (67.3286 , -28.6541)
10350:(x,y) = (67.1895 , -29.6443)
10351:(x,y) = (66.3234 , -30.1443)
10352:(x,y) = (67.2847 , -30.42)
10353:(x,y) = (67.7997 , -29.5628)
10354:(x,y) = (68.0247 , -30.5372)
10355:(x,y) = (68.5095 , -29.6626)
10356:(x,y) = (67.5279 , -29.4717)
10357:(x,y) = (67.5628 , -28.4724)
10358:(x,y) = (68.3288 , -27.8296)
10359:(x,y) = (68.7356 , -26.916)
10360:(x,y) = (68.753 , -25.9162)
10361:(x,y) = (69.4221 , -25.173)
10362:(x,y) = (69.4745 , -26.1717)
10363:(x,y) = (69.5094 , -27.171)
10364:(x,y) = (70.4996 , -27.0319)
10365:(x,y) = (71.3188 , -26.4583)
10366:(x,y) = (72.2891 , -26.7002)
10367:(x,y) = (72.0303 , -27.6661)
10368:(x,y) = (71.6719 , -28.5997)
10369:(x,y) = (70.6721 , -28.5823)
10370:(x,y) = (69.6904 , -28.3915)
10371:(x,y) = (70.113 , -29.2978)
10372:(x,y) = (69.1387 , -29.0728)
10373:(x,y) = (68.9479 , -28.0912)
10374:(x,y) = (68.1599 , -28.7069)
10375:(x,y) = (67.9179 , -29.6772)
10376:(x,y) = (66.9669 , -29.9862)
10377:(x,y) = (66.0839 , -29.5167)
10378:(x,y) = (66.9827 , -29.9551)
10379:(x,y) = (66.1167 , -30.4551)
10380:(x,y) = (66.0818 , -31.4545)
10381:(x,y) = (65.7728 , -30.5034)
10382:(x,y) = (66.1474 , -31.4306)
10383:(x,y) = (65.8384 , -32.3816)
10384:(x,y) = (66.6155 , -31.7523)
10385:(x,y) = (65.8065 , -32.3401)
10386:(x,y) = (64.8103 , -32.4273)
10387:(x,y) = (63.9274 , -32.8967)
10388:(x,y) = (62.9298 , -32.827)
10389:(x,y) = (62.8079 , -31.8344)
10390:(x,y) = (62.8777 , -32.832)
10391:(x,y) = (62.7905 , -33.8282)
10392:(x,y) = (63.7416 , -33.5192)
10393:(x,y) = (64.2566 , -32.662)
10394:(x,y) = (64.9127 , -31.9073)
10395:(x,y) = (65.8115 , -31.4689)
10396:(x,y) = (65.7243 , -30.4727)
10397:(x,y) = (65.672 , -31.4714)
10398:(x,y) = (65.8628 , -32.453)
10399:(x,y) = (66.8241 , -32.7286)
10400:(x,y) = (67.5672 , -33.3978)
10401:(x,y) = (67.5672 , -32.3978)
10402:(x,y) = (66.6926 , -31.9129)
10403:(x,y) = (66.1048 , -31.1039)
10404:(x,y) = (66.5588 , -30.2129)
10405:(x,y) = (67.5436 , -30.0393)
10406:(x,y) = (68.4708 , -29.6647)
10407:(x,y) = (67.7761 , -28.9453)
10408:(x,y) = (68.6052 , -28.3861)
10409:(x,y) = (67.9491 , -29.1408)
10410:(x,y) = (68.9104 , -29.4165)
10411:(x,y) = (69.4403 , -30.2645)
10412:(x,y) = (70.3608 , -30.6553)
10413:(x,y) = (69.5127 , -30.1253)
10414:(x,y) = (69.9195 , -29.2118)
10415:(x,y) = (70.8758 , -28.9194)
10416:(x,y) = (71.8733 , -28.8497)
10417:(x,y) = (71.3287 , -28.011)
10418:(x,y) = (71.2068 , -27.0185)
10419:(x,y) = (71.8225 , -26.2304)
10420:(x,y) = (71.7702 , -25.2318)
10421:(x,y) = (71.3318 , -26.1306)
10422:(x,y) = (70.3441 , -26.287)
10423:(x,y) = (69.9857 , -25.3535)
10424:(x,y) = (70.5304 , -26.1921)
10425:(x,y) = (70.0004 , -27.0402)
10426:(x,y) = (70.9881 , -26.8837)
10427:(x,y) = (70.9881 , -27.8837)
10428:(x,y) = (71.9444 , -27.5914)
10429:(x,y) = (70.9934 , -27.2824)
10430:(x,y) = (70.4056 , -26.4733)
10431:(x,y) = (71.3191 , -26.8801)
10432:(x,y) = (71.0101 , -27.8311)
10433:(x,y) = (71.1493 , -28.8214)
10434:(x,y) = (70.9414 , -27.8433)
10435:(x,y) = (69.9511 , -27.9824)
10436:(x,y) = (69.0114 , -27.6404)
10437:(x,y) = (70.009 , -27.7102)
10438:(x,y) = (70.797 , -28.3258)
10439:(x,y) = (71.2037 , -27.4123)
10440:(x,y) = (70.4966 , -28.1194)
10441:(x,y) = (69.4972 , -28.0845)
10442:(x,y) = (68.9972 , -28.9505)
10443:(x,y) = (69.2561 , -27.9846)
10444:(x,y) = (68.305 , -28.2936)
10445:(x,y) = (68.8928 , -29.1026)
10446:(x,y) = (69.7018 , -29.6904)
10447:(x,y) = (69.9606 , -28.7245)
10448:(x,y) = (70.4757 , -29.5816)
10449:(x,y) = (70.9605 , -28.707)
10450:(x,y) = (70.3587 , -27.9084)
10451:(x,y) = (71.1877 , -27.3492)
10452:(x,y) = (71.7613 , -28.1683)
10453:(x,y) = (72.4926 , -28.8503)
10454:(x,y) = (73.4489 , -28.558)
10455:(x,y) = (72.9339 , -27.7008)
10456:(x,y) = (73.3246 , -26.7803)
10457:(x,y) = (74.2234 , -26.3419)
10458:(x,y) = (75.0806 , -25.8269)
10459:(x,y) = (75.1677 , -24.8307)
10460:(x,y) = (74.1775 , -24.9699)
10461:(x,y) = (73.2503 , -24.5953)
10462:(x,y) = (73.7351 , -23.7206)
10463:(x,y) = (74.4171 , -24.452)
10464:(x,y) = (75.0328 , -25.24)
10465:(x,y) = (75.8519 , -24.6664)
10466:(x,y) = (75.0748 , -24.0371)
10467:(x,y) = (76.0145 , -24.3791)
10468:(x,y) = (76.8716 , -23.8641)
10469:(x,y) = (77.7779 , -24.2867)
10470:(x,y) = (78.4726 , -23.5674)
10471:(x,y) = (77.8433 , -22.7902)
10472:(x,y) = (78.7496 , -22.3676)
10473:(x,y) = (79.0252 , -23.3289)
10474:(x,y) = (79.2671 , -22.3586)
10475:(x,y) = (79.18 , -21.3624)
10476:(x,y) = (78.9381 , -20.3921)
10477:(x,y) = (78.973 , -21.3915)
10478:(x,y) = (77.9881 , -21.2178)
10479:(x,y) = (78.6953 , -20.5107)
10480:(x,y) = (77.7889 , -20.9333)
10481:(x,y) = (78.2584 , -21.8163)
10482:(x,y) = (78.4321 , -20.8315)
10483:(x,y) = (77.5574 , -20.3467)
10484:(x,y) = (76.9556 , -19.548)
10485:(x,y) = (76.8338 , -18.5555)
10486:(x,y) = (76.0247 , -17.9677)
10487:(x,y) = (75.0545 , -18.2096)
10488:(x,y) = (74.4953 , -17.3806)
10489:(x,y) = (73.4991 , -17.2934)
10490:(x,y) = (72.6244 , -16.8086)
10491:(x,y) = (71.6269 , -16.8784)
10492:(x,y) = (72.5179 , -17.3324)
10493:(x,y) = (72.6224 , -16.3378)
10494:(x,y) = (71.8911 , -15.6558)
10495:(x,y) = (71.0001 , -15.2019)
10496:(x,y) = (70.5152 , -14.3272)
10497:(x,y) = (69.6492 , -13.8272)
10498:(x,y) = (68.9672 , -13.0959)
10499:(x,y) = (69.8877 , -12.7052)
10500:(x,y) = (69.3141 , -11.886)
10501:(x,y) = (68.3143 , -11.8686)
10502:(x,y) = (69.2278 , -11.4618)
10503:(x,y) = (70.155 , -11.0872)
10504:(x,y) = (69.8962 , -10.1213)
10505:(x,y) = (70.7792 , -10.5908)
10506:(x,y) = (70.3097 , -9.7078)
10507:(x,y) = (69.4351 , -10.1926)
10508:(x,y) = (68.9967 , -11.0914)
10509:(x,y) = (68.057 , -10.7494)
10510:(x,y) = (67.4552 , -9.95075)
10511:(x,y) = (67.4726 , -8.95091)
10512:(x,y) = (68.3387 , -9.45091)
10513:(x,y) = (67.4477 , -9.9049)
10514:(x,y) = (67.0731 , -8.97771)
10515:(x,y) = (66.9512 , -7.98517)
10516:(x,y) = (67.5104 , -8.8142)
10517:(x,y) = (67.2685 , -9.7845)
10518:(x,y) = (66.3072 , -9.50886)
10519:(x,y) = (66.8072 , -10.3749)
10520:(x,y) = (67.3664 , -11.2039)
10521:(x,y) = (68.0735 , -11.911)
10522:(x,y) = (67.4999 , -11.0919)
10523:(x,y) = (67.6218 , -12.0844)
10524:(x,y) = (67.6567 , -13.0838)
10525:(x,y) = (67.5175 , -14.0741)
10526:(x,y) = (68.0622 , -14.9128)
10527:(x,y) = (68.9193 , -14.3977)
10528:(x,y) = (69.5211 , -13.5991)
10529:(x,y) = (69.7631 , -12.6288)
10530:(x,y) = (70.0387 , -13.59)
10531:(x,y) = (70.6815 , -12.824)
10532:(x,y) = (70.4396 , -13.7943)
10533:(x,y) = (69.4402 , -13.8292)
10534:(x,y) = (70.0137 , -14.6484)
10535:(x,y) = (69.4119 , -15.447)
10536:(x,y) = (70.3107 , -15.0086)
10537:(x,y) = (70.7333 , -15.9149)
10538:(x,y) = (71.4404 , -16.622)
10539:(x,y) = (71.4404 , -17.622)
10540:(x,y) = (71.3533 , -16.6258)
10541:(x,y) = (71.4925 , -15.6356)
10542:(x,y) = (70.8768 , -16.4236)
10543:(x,y) = (71.2835 , -15.51)
10544:(x,y) = (70.338 , -15.1845)
10545:(x,y) = (69.529 , -15.7722)
10546:(x,y) = (70.3482 , -15.1987)
10547:(x,y) = (71.2687 , -15.5894)
10548:(x,y) = (70.8779 , -14.6689)
10549:(x,y) = (69.9324 , -14.9945)
10550:(x,y) = (69.0664 , -14.4945)
10551:(x,y) = (69.611 , -13.6558)
10552:(x,y) = (70.502 , -13.2018)
10553:(x,y) = (70.5892 , -14.198)
10554:(x,y) = (69.6904 , -14.6364)
10555:(x,y) = (70.1752 , -15.511)
10556:(x,y) = (70.8313 , -14.7563)
10557:(x,y) = (69.9741 , -14.2412)
